metric,baseline,comparison,pct_delta,baseline_n,comparison_n
agent_process_cpu_cores,0.8444444444444444,0.3655555555555556,-56.710526315789465,3,3
agent_rss_mib,634.2781094269103,423.4239081533776,-33.24317805387386,3,3
blackhole_received_mib_s,3.383907826741537,3.467975637647841,2.484341040318918,3,3
columnar_v3_created_buckets_s,NULL,0.01,NULL,0,3
columnar_v3_created_descriptors_s,NULL,7.8566666666666665,NULL,0,3
columnar_v3_created_rows_s,NULL,241.1311111111111,NULL,0,3
columnar_v3_duration_flush_ns_s,NULL,2227340.334444444,NULL,0,3
columnar_v3_expired_descriptors_s,NULL,0.02,NULL,0,3
columnar_v3_flushed_buckets_s,NULL,0.09555555555555556,NULL,0,3
columnar_v3_flushed_points_s,NULL,224.48777777777778,NULL,0,3
columnar_v3_flushed_rows_s,NULL,148.86555555555557,NULL,0,3
columnar_v3_flushes_s,NULL,0.06333333333333334,NULL,0,3
columnar_v3_inserted_samples_s,NULL,108732.48,NULL,0,3
columnar_v3_reused_buckets_s,NULL,0.09333333333333334,NULL,0,3
columnar_v3_reused_descriptor_slots_s,NULL,0.01,NULL,0,2
debug_stats_contexts,NULL,2093.370985603544,NULL,0,3
dogstatsd_processed_events_ok_s,3308.202222222222,3377.7644444444445,2.1027197719338697,3,3
dogstatsd_processed_metrics_error_s,0.0,0.0,NULL,3,3
dogstatsd_processed_metrics_ok_s,111523.75333333334,113866.60888888889,2.1007682090406243,3,3
dogstatsd_processed_service_checks_ok_s,3517.286666666667,3591.2166666666667,2.1019043088137965,3,3
dogstatsd_uds_bytes_mib_s,96.75321889453464,98.78626738336352,2.101272197512102,3,3
dogstatsd_uds_packets_m_s,0.026376451111111112,0.026930476666666665,2.100455262998473,3,3
generator_written_mib_s,97.08703707483079,99.11481156137255,2.0886150691557637,3,3
go_heap_alloc_mib,360.86120644333886,211.59471389753608,-41.363962066462825,3,3
metric_sample_pool_get_s,3885.8433333333337,0.17,-99.99562514529235,3,3
metric_sample_pool_put_s,3885.8122222222223,0.15666666666666668,-99.99596823887241,3,3
pipeline_flush_duration_check_samplers_ns_s,NULL,121732.14444444445,NULL,0,3
pipeline_flush_duration_dogstatsd_columnar_v3_native_ns_s,NULL,2227379.1355555556,NULL,0,3
pipeline_flush_duration_dogstatsd_samplers_ns_s,NULL,4798.393333333333,NULL,0,3
pipeline_flush_duration_flush_total_ns_s,NULL,2662965.81,NULL,0,3
pipeline_flush_duration_producer_total_ns_s,NULL,126721.15777777777,NULL,0,3
pipeline_flush_duration_serialize_columnar_v3_native_ns_s,NULL,2335401.86,NULL,0,3
pipeline_flush_duration_serialize_direct_metrics_ns_s,NULL,326168.44444444444,NULL,0,3
pipeline_items_series_points_s,NULL,36.72666666666667,NULL,0,3
pipeline_items_series_row_points_s,NULL,0.14555555555555555,NULL,0,3
pipeline_items_series_row_tags_s,NULL,0.10222222222222223,NULL,0,3
pipeline_items_series_rows_s,NULL,0.0988888888888889,NULL,0,3
pipeline_items_series_s,NULL,36.72666666666666,NULL,0,3
pipeline_items_series_tags_s,NULL,222.25,NULL,0,3
pipeline_items_v3_metric_point_row_points_s,NULL,224.48777777777778,NULL,0,3
pipeline_items_v3_metric_point_row_tags_s,NULL,3718.9922222222217,NULL,0,3
pipeline_items_v3_metric_point_rows_s,NULL,148.86555555555557,NULL,0,3
string_interner_entries_interner_0,2254.9390919158363,2763.904761904762,22.57114934117796,3,3
string_interner_entries_interner_1,2279.256921373201,2763.548172757475,21.247769255100028,3,3
string_interner_hits_interner_0_s,329819.8388888889,2246.8722222222223,-99.31875771033314,3,3
string_interner_hits_interner_1_s,327609.9033333334,2247.4566666666665,-99.31398390469901,3,3
string_interner_miss_interner_0_s,292178.33666666667,139.48,-99.95226203229464,3,3
string_interner_miss_interner_1_s,290229.60555555555,138.29333333333332,-99.95235036995325,3,3
