case_name,metric,baseline_mean,comparison_mean,delta_percent
highrate_v3_uds_metrics_only,agent_cpu_cores,0.7366666666666667,0.5677777777777778,-22.9260935143288
highrate_v3_uds_metrics_only,agent_rss_mib_avg,192.60196913067554,194.60450840946842,1.0397293900116924
highrate_v3_uds_metrics_only,agent_rss_mib_max,219.02213541666666,225.58072916666666,2.9944889988050583
highrate_v3_uds_metrics_only,blackhole_received_mib_s,0.05904596328735351,0.0589015367296007,-0.2446002227958327
highrate_v3_uds_metrics_only,columnar_v3_stats_created_buckets_s,0.01,0.01,0.0
highrate_v3_uds_metrics_only,columnar_v3_stats_created_descriptors_s,7.857777777777778,7.8566666666666665,-0.01414027149321488
highrate_v3_uds_metrics_only,columnar_v3_stats_created_rows_s,238.34333333333333,239.67444444444445,0.5584847255826104
highrate_v3_uds_metrics_only,columnar_v3_stats_expired_descriptors_s,0.021111111111111112,0.02,-5.263157894736843
highrate_v3_uds_metrics_only,columnar_v3_stats_fallback_samples_s,0.006779661016949152,0.005714285714285714,-15.714285714285712
highrate_v3_uds_metrics_only,columnar_v3_stats_flushed_buckets_s,0.09444444444444444,0.09444444444444444,0.0
highrate_v3_uds_metrics_only,columnar_v3_stats_flushed_points_s,221.89333333333335,221.89444444444447,0.0005007410968313822
highrate_v3_uds_metrics_only,columnar_v3_stats_flushed_rows_s,148.82444444444445,148.82333333333335,-0.0007465918083876334
highrate_v3_uds_metrics_only,columnar_v3_stats_flushes_s,0.06333333333333334,0.06333333333333334,0.0
highrate_v3_uds_metrics_only,columnar_v3_stats_inserted_samples_s,291146.8077777778,291455.53222222225,0.10603737914932061
highrate_v3_uds_metrics_only,columnar_v3_stats_reused_buckets_s,0.09222222222222222,0.09222222222222222,0.0
highrate_v3_uds_metrics_only,columnar_v3_stats_reused_descriptor_slots_s,0.013333333333333334,0.01,-25.0
highrate_v3_uds_metrics_only,generator_written_mib_s,247.4291932837168,247.54673758718704,0.04750623881937904
highrate_v3_uds_metrics_only,go_heap_alloc_mib_avg,76.11870571571595,79.82876298805144,4.874041455974846
highrate_v3_uds_metrics_only,go_heap_alloc_mib_max,114.15672047932942,119.92723846435547,5.054908691136521
highrate_v3_uds_metrics_only,raw_ring_blocked_ns_s,139607758.80555555,4484889.135555555,-96.78750724606783
highrate_v3_uds_metrics_only,raw_ring_consumer_lag_bytes_mib_avg,0.1489305010401661,1.2231071309525836,721.2603344580942
highrate_v3_uds_metrics_only,raw_ring_consumer_lag_bytes_mib_max,3.621624310811361,8.627290407816568,138.21605079417463
highrate_v3_uds_metrics_only,raw_ring_consumer_lag_records_avg,40.91362126245847,323.8161683277962,691.4629855190146
highrate_v3_uds_metrics_only,raw_ring_consumer_lag_records_max,996.6666666666666,2327.6666666666665,133.54515050167225
highrate_v3_uds_metrics_only,raw_ring_oldest_age_ns_max,6927250.0,19527913.0,181.89993143022122
highrate_v3_uds_metrics_only,string_interner_bytes_mib_avg,0.5160261547050603,0.5160868096589251,0.011754240228274126
highrate_v3_uds_metrics_only,string_interner_bytes_mib_max,0.5852251052856445,0.5848169326782227,-0.06974625724961828
highrate_v3_uds_metrics_only,string_interner_entries_avg,5794.382059800664,5794.645625692137,0.0045486453732795475
highrate_v3_uds_metrics_only,string_interner_entries_max,6577.333333333333,6570.333333333333,-0.10642610987228868
highrate_v3_uds_metrics_only,string_interner_evictions_s,294.7166666666667,294.7166666666667,0.0
highrate_v3_uds_metrics_only,string_interner_hits_s,143168.42,143237.30333333332,0.04811349691035375
highrate_v3_uds_metrics_only,string_interner_miss_s,316.4766666666667,316.4766666666667,0.0
highrate_v3_uds_metrics_only,string_interner_resets_s,0.0,0.0,NULL
standard_v3_uds,agent_cpu_cores,0.4288888888888889,0.3633333333333333,-15.284974093264257
standard_v3_uds,agent_rss_mib_avg,390.8834310977298,374.72165265088597,-4.134679845972545
standard_v3_uds,agent_rss_mib_max,565.6666666666666,531.96484375,-5.957894446081314
standard_v3_uds,blackhole_received_mib_s,3.4765185112423365,3.468512145148383,-0.2302983881162264
standard_v3_uds,columnar_v3_stats_created_buckets_s,0.01,0.01,0.0
standard_v3_uds,columnar_v3_stats_created_descriptors_s,7.857777777777778,7.8566666666666665,-0.01414027149321488
standard_v3_uds,columnar_v3_stats_created_rows_s,240.06444444444446,240.07111111111112,0.0027770320932316984
standard_v3_uds,columnar_v3_stats_expired_descriptors_s,0.021111111111111112,0.02,-5.263157894736843
standard_v3_uds,columnar_v3_stats_fallback_samples_s,0.016666666666666666,0.0036363636363636364,-78.18181818181819
standard_v3_uds,columnar_v3_stats_flushed_buckets_s,0.09333333333333334,0.09333333333333334,0.0
standard_v3_uds,columnar_v3_stats_flushed_points_s,219.28333333333333,219.29,0.003040206734055151
standard_v3_uds,columnar_v3_stats_flushed_rows_s,148.76,148.76777777777775,0.005228406680398784
standard_v3_uds,columnar_v3_stats_flushes_s,0.06333333333333334,0.06333333333333334,0.0
standard_v3_uds,columnar_v3_stats_inserted_samples_s,108727.96,108732.47888888889,0.004156142439240661
standard_v3_uds,columnar_v3_stats_reused_buckets_s,0.09222222222222222,0.09222222222222222,0.0
standard_v3_uds,columnar_v3_stats_reused_descriptor_slots_s,0.00423728813559322,NULL,NULL
standard_v3_uds,generator_written_mib_s,99.22160140461392,99.11083687994216,-0.11163347809725489
standard_v3_uds,go_heap_alloc_mib_avg,191.14427234062455,182.2436286529169,-4.65650556970206
standard_v3_uds,go_heap_alloc_mib_max,404.4969533284505,396.64599863688153,-1.9409181273101004
standard_v3_uds,raw_ring_blocked_ns_s,35505112.781111114,1146511.9966666666,-96.77085380988672
standard_v3_uds,raw_ring_consumer_lag_bytes_mib_avg,0.28992978071717596,0.2017685973631055,-30.407770852650327
standard_v3_uds,raw_ring_consumer_lag_bytes_mib_max,4.256436030069987,3.73188050587972,-12.323820221530312
standard_v3_uds,raw_ring_consumer_lag_records_avg,77.77187153931341,49.792912513842744,-35.97567921626703
standard_v3_uds,raw_ring_consumer_lag_records_max,1216.3333333333333,953.0,-21.649767059468342
standard_v3_uds,raw_ring_oldest_age_ns_max,17793566.333333332,6742847.333333333,-62.10513841341793
standard_v3_uds,string_interner_bytes_mib_avg,0.5197202253711316,0.5197086270861452,-0.0022316401056246328
standard_v3_uds,string_interner_bytes_mib_max,0.5862061182657877,0.5863701502482096,0.027981963563795897
standard_v3_uds,string_interner_entries_avg,5820.11738648948,5819.875968992248,-0.004147983299997775
standard_v3_uds,string_interner_entries_max,6567.333333333333,6568.666666666667,0.02030250735966815
standard_v3_uds,string_interner_evictions_s,290.26,290.26,0.0
standard_v3_uds,string_interner_hits_s,53364.66777777779,53306.45111111111,-0.10909215608556101
standard_v3_uds,string_interner_miss_s,312.07,312.07,0.0
standard_v3_uds,string_interner_resets_s,0.0,0.0,NULL
