metric,baseline_mean,comparison_mean,delta_percent
agent_process_cpu_cores,0.3637458193979933,0.3333333333333333,-8.360917003800413
agent_rss_mib,405.04781955114896,408.3738969061462,0.8211567114922333
blackhole_received_mib_s,3.4745374408808396,3.4622041871812606,-0.3549610245803658
columnar_v3_duration_flush_ns_s,2542522.2328948346,2255674.52,-11.282013945979891
columnar_v3_fallbacks_invalid_value_s,0.016666666666666666,,
columnar_v3_stats_created_buckets_s,0.010011148272017838,0.01,-0.11135857461025091
columnar_v3_stats_created_descriptors_s,7.866536603493125,7.8566666666666665,-0.12546737305049319
columnar_v3_stats_created_rows_s,237.78084726867337,237.52444444444447,-0.10783157145503192
columnar_v3_stats_expired_descriptors_s,0.021133407655146787,0.02,-5.363108844733609
columnar_v3_stats_fallback_samples_s,0.016666666666666666,,
columnar_v3_stats_flushed_buckets_s,0.09343738387216649,0.09333333333333334,-0.11135857461025091
columnar_v3_stats_flushed_points_s,219.597911557042,219.35888888888886,-0.10884560169920683
columnar_v3_stats_flushed_rows_s,148.99372723894464,148.8322222222222,-0.10839719209347679
columnar_v3_stats_flushes_s,0.06340393905611297,0.06333333333333334,-0.1113585746102345
columnar_v3_stats_inserted_samples_s,108832.88348197697,108732.50666666665,-0.09223022683850719
columnar_v3_stats_reused_buckets_s,0.09121144555927163,0.0911111111111111,-0.11000203707475512
columnar_v3_stats_reused_descriptor_slots_s,0.0037593984962406013,,
dogstatsd_contexts,1.5775119970468807,1.495016611295681,-5.229461703342471
dogstatsd_uds_bytes_mib_s,98.89472112122985,98.89671767022874,0.0020188630659483437
dogstatsd_uds_packets_m_s,0.026960131921218877,0.02696057333333333,0.001637277279443103
float64_list_pool_get_s,3940.853166109253,3941.0144444444445,0.0040924725787439085
float64_list_pool_put_s,3940.853166109253,3941.0144444444445,0.0040924725787439085
generator_written_mib_s,99.22148023058162,99.22524988916184,0.0037992363865816292
go_heap_alloc_mib,205.09251706125815,211.66635428393798,3.2053033025657967
metric_sample_pool_get_s,0.1757450761798588,0.17,-3.268982724716128
metric_sample_pool_put_s,0.16239687848383502,0.15666666666666668,-3.528523374751154
string_interner_hits_s,26683.302556670387,2249.413888888889,-91.56995696424177
string_interner_miss_s,156.2089520624303,138.88666666666666,-11.089175855197242
