timestamp,window_seconds,orchmanif_payloads_in_window,orchmanif_batches_in_window,orch_payloads_in_window,total_orchmanif_payloads,total_orch_payloads,manif_batches,manif_gap_p50_s,manif_gap_p95_s,manif_gap_max_s,coll_batches,coll_gap_p50_s,coll_gap_p95_s,coll_gap_max_s
1778891646,180,4,2,9,4,9,2,13.91,13.91,13.91,3,8.83,9.89,10.00
1778891666,180,6,3,13,6,13,3,14.46,14.94,15.00,5,10.00,11.99,12.35
1778891686,180,11,5,19,11,19,5,15.00,15.00,15.00,7,10.00,12.37,12.37
1778891706,180,14,6,24,14,24,6,15.00,15.00,15.00,9,10.00,12.36,12.37
1778891727,180,27,7,42,27,42,7,15.00,15.00,15.00,11,10.00,12.37,12.37
1778891747,180,32,9,48,32,48,9,15.00,15.00,15.00,13,10.00,12.37,12.37
1778891767,180,35,10,53,35,53,10,15.00,15.00,15.00,15,10.00,12.37,12.37
1778891787,180,36,11,57,36,57,11,15.00,15.60,16.09,17,10.00,12.37,12.37
1778891807,180,39,12,60,40,62,12,15.00,15.55,16.09,18,10.00,12.37,12.37
1778891827,180,38,12,59,42,68,12,15.00,16.09,16.09,18,10.00,12.37,12.37
1778891847,180,38,12,61,44,75,12,15.00,16.09,16.09,19,10.00,12.35,12.37
1778891867,180,38,12,61,49,80,12,15.00,16.09,16.09,18,10.00,12.37,12.37
1778891887,180,38,12,61,52,85,12,15.00,16.09,16.09,18,10.00,12.36,12.37
